71;71;71;110000;24891;34891;111096;22000;22000;83342;22000;22000;8546;0;0
120;120;120;30000;3620;12563;40195;3620;723;1680;723;723;2010;0;0
28;28;27;31000;680;680;6606;680;680;1447452;680;680;2202;0;0
381;381;380;31000;4089;4089;4089;4089;4089;3534326;4089;4089;4089;0;0
144;144;144;60000;5628;5628;30630;3029;3029;64472;3029;3029;2188;0;0
123;123;122;20000;4974;5524;22388;4974;4974;435300;4974;4974;1866;0;0
324;324;301;39000;1570;5896;56444;1570;1570;175815;1570;1570;3320;0;0
728;728;728;74000;2472;2472;12682;1872;1872;81121;1872;1872;1409;0;0
512;512;542;30000;5800;5800;9100;1000;1000;67129;1000;1000;3033;0;0
132;132;132;128000;10023;133223;144132;8023;8023;58971;8023;8023;24022;0;0
79;79;79;154000;10688;16248;39841;10688;6728;1077;6728;6728;5692;0;0
263;263;263;124000;13558;28171;52007;13558;13558;88396;13558;13558;4334;0;0
117;71;113;121000;5267;11635;30457;5267;5267;239353;5267;5267;5076;0;0
148;47;48;157000;26774;26774;95562;26774;26774;864794;26774;26774;31854;0;0
68;68;68;33000;3630;8628;30125;3630;3630;327830;3630;3630;10042;0;0
134;134;134;50000;6242;12328;12328;6242;2620;1120;2620;2620;4109;0;0
44;44;44;111000;2949;27052;96601;2949;2949;97104;2949;2949;3220;0;0
48;40;40;140000;4077;8943;30504;399;399;77815;399;399;2034;0;0
260;260;260;51000;5984;5984;31647;5984;5984;616207;5984;5984;5275;0;0
144;144;144;89000;7083;17350;71874;2339;2339;3987;2339;2339;4792;0;0
61;55;55;59000;2816;16345;16345;1616;1616;60;1616;218;3269;0;0
177;177;177;30000;1695;2195;6835;1695;1695;171429;1695;1695;1139;0;0
57;57;57;122000;3615;3615;86655;3615;3615;666714;3615;3615;12379;0;0
48;48;45;36000;2590;2590;15450;2590;2590;2266415;2590;2590;1931;0;0
144;144;144;70000;2879;2879;2879;2879;2879;3434128;2879;2879;2879;0;0
244;244;244;99000;17674;17674;17674;17674;17674;4463903;17674;17674;17674;0;0
181;181;181;57000;2484;2484;14406;2484;2484;1559427;2484;2484;3602;0;0
263;263;263;81000;6251;38748;57469;2081;2081;5849;2081;2081;3193;0;0
